1,Orchestra,the_met_section_1.png,1
2,Mezzanine,the_met_section_2.png,1
3,Balcony,the_met_section_3.png,1
4,Orchesta,the_met_section_4.png,1
5,Section A,the_met_section_4.png,2
6,Section B,the_met_section_4.png,2
7,Section C,the_met_section_4.png,2
8,Section D,the_met_section_4.png,2
9,Section A,the_met_section_4.png,3
10,Section B,the_met_section_4.png,3
11,Section C,the_met_section_4.png,3
12,Section D,the_met_section_4.png,3
13,Section A,the_met_section_4.png,4
14,Section B,the_met_section_4.png,4
15,Section C,the_met_section_4.png,4
16,Section D,the_met_section_4.png,4
17,Section A,the_met_section_4.png,5
18,Section B,the_met_section_4.png,5
19,Section C,the_met_section_4.png,5
20,Section D,the_met_section_4.png,5
21,Section A,the_met_section_4.png,6
22,Section B,the_met_section_4.png,6
23,Section C,the_met_section_4.png,6
24,Section D,the_met_section_4.png,6
25,Section A,the_met_section_4.png,7
26,Section B,the_met_section_4.png,7
27,Section C,the_met_section_4.png,7
28,Section D,the_met_section_4.png,7
29,Section A,the_met_section_4.png,8
30,Section B,the_met_section_4.png,8
31,Section C,the_met_section_4.png,8
32,Section D,the_met_section_4.png,8
33,Section A,the_met_section_4.png,9
34,Section B,the_met_section_4.png,9
35,Section C,the_met_section_4.png,9
36,Section D,the_met_section_4.png,9
37,Section A,the_met_section_4.png,10
38,Section B,the_met_section_4.png,10
39,Section C,the_met_section_4.png,10
40,Section D,the_met_section_4.png,10
