1,Section A,the_met_section_1.png,1
2,Section B,the_met_section_2.png,1
3,Section C,the_met_section_3.png,1
4,Section D,the_met_section_4.png,1
5,Section A,fillmore_philly_1.png,2
6,Section B,fillmore_philly_2.png,2
7,Section C,fillmore_philly_3.png,2
8,Section D,fillmore_philly_4.png,2
9,Section A,moore_theatre_1.png,3
10,Section B,moore_theatre_2.png,3
11,Section C,moore_theatre_3.png,3
12,Section D,moore_theatre_4.png,3
13,Section A,paramount_theater_1.png,4
14,Section B,paramount_theater_2.png,4
15,Section C,paramount_theater_3.png,4
16,Section D,paramount_theater_4.png,4
17,Section A,radio_city_1.png,5
18,Section B,radio_city_2.png,5
19,Section C,radio_city_3.png,5
20,Section D,radio_city_4.png,5
21,Section A,beacon_theater_1.png,6
22,Section B,beacon_theater_2.png,6
23,Section C,beacon_theater_3.png,6
24,Section D,beacon_theater_4.png,6
25,Section A,fillmore_miami_1.png,7
26,Section B,fillmore_miami_2.png,7
27,Section C,fillmore_miami_3.png,7
28,Section D,fillmore_miami_4.png,7
29,Section A,hard_rock_1.png,8
30,Section B,hard_rock_2.png,8
31,Section C,hard_rock_f1_1.png,8
32,Section D,hard_rock_f1_2.png,8
33,Section A,greek_theater_1.png,9
34,Section B,greek_theater_2.png,9
35,Section C,greek_theater_3.png,9
36,Section D,greek_theater_4.png,9
37,Section A,hollywood_bowl_1.png,10
38,Section B,hollywood_bowl_2.png,10
39,Section C,hollywood_bowl_3.png,10
40,Section D,hollywood_bowl_4.png,10
