1,1,1,1,1,12/23/2023
2,1,2,2,1,12/25/2023
3,1,3,,0,
4,1,4,,0,
5,1,5,,0,
6,1,6,,0,
7,1,7,,0,
8,1,8,,0,
9,1,9,,0,
10,1,10,,0,
11,1,11,,0,
12,1,12,,0,
13,1,13,,0,
14,1,14,,0,
15,1,15,,0,
16,1,16,,0,
17,1,17,,0,
18,1,18,,0,
19,1,19,,0,
20,1,20,,0,
21,1,21,,0,
22,1,22,,0,
23,1,23,,0,
24,1,24,,0,
25,1,25,,0,
26,1,26,,0,
27,1,27,,0,
28,1,28,,0,
29,1,29,,0,
30,1,30,,0,
31,1,31,,0,
32,1,32,,0,
33,1,33,,0,
34,1,34,,0,
35,1,35,,0,
36,1,36,,0,
37,1,37,,0,
38,1,38,,0,
39,1,39,,0,
40,1,40,,0,
41,1,41,,0,
42,1,42,,0,
43,1,43,,0,
44,1,44,,0,
45,1,45,,0,
46,1,46,,0,
47,1,47,,0,
48,1,48,,0,
49,1,49,,0,
50,1,50,,0,
51,1,51,,0,
52,1,52,,0,
53,1,53,,0,
54,1,54,,0,
55,1,55,,0,
56,1,56,,0,
57,1,57,,0,
58,1,58,,0,
59,1,59,,0,
60,1,60,,0,
61,1,61,,0,
62,1,62,,0,
63,1,63,,0,
64,1,64,,0,
65,1,65,,0,
66,1,66,,0,
67,1,67,,0,
68,1,68,,0,
69,1,69,,0,
70,1,70,,0,
71,1,71,,0,
72,1,72,,0,
73,1,73,,0,
74,1,74,,0,
75,1,75,,0,
76,1,76,,0,
77,1,77,,0,
78,1,78,,0,
79,1,79,,0,
80,1,80,,0,
81,1,81,,0,
82,1,82,,0,
83,1,83,,0,
84,1,84,,0,
85,1,85,,0,
86,1,86,,0,
87,1,87,,0,
88,1,88,,0,
89,1,89,,0,
90,1,90,,0,
91,1,91,,0,
92,1,92,,0,
93,1,93,,0,
94,1,94,,0,
95,1,95,,0,
96,1,96,,0,
97,1,97,,0,
98,1,98,,0,
99,1,99,,0,
100,1,100,,0,
101,3,1,2,1,1/3/2024
102,3,2,2,1,1/3/2024
103,3,3,1,1,1/5/2024
104,3,4,1,1,1/5/2024
105,3,5,,0,
106,3,6,,0,
107,3,7,,0,
108,3,8,,0,
109,3,9,,0,
110,3,10,,0,
111,3,11,,0,
112,3,12,,0,
113,3,13,,0,
114,3,14,,0,
115,3,15,,0,
116,3,16,,0,
117,3,17,,0,
118,3,18,,0,
119,3,19,,0,
120,3,20,,0,
121,3,21,,0,
122,3,22,,0,
123,3,23,,0,
124,3,24,,0,
125,3,25,,0,
126,3,26,,0,
127,3,27,,0,
128,3,28,,0,
129,3,29,,0,
130,3,30,,0,
131,3,31,,0,
132,3,32,,0,
133,3,33,,0,
134,3,34,,0,
135,3,35,2,1,1/24/2024
136,3,36,,0,
137,3,37,,0,
138,3,38,,0,
139,3,39,,0,
140,3,40,,0,
141,3,41,,0,
142,3,42,,0,
143,3,43,,0,
144,3,44,,0,
145,3,45,,0,
146,3,46,,0,
147,3,47,,0,
148,3,48,2,1,1/24/2024
149,3,49,2,1,1/24/2024
150,3,50,,0,
151,3,51,,0,
152,3,52,,0,
153,3,53,1,1,1/19/2024
154,3,54,,0,
155,3,55,1,1,1/19/2024
156,3,56,,0,
157,3,57,1,1,1/19/2024
158,3,58,1,1,1/19/2024
159,3,59,,0,
160,3,60,2,1,1/19/2024
161,3,61,,0,
162,3,62,,0,
163,3,63,,0,
164,3,64,,0,
165,3,65,,0,
166,3,66,,0,
167,3,67,,0,
168,3,68,,0,
169,3,69,,0,
170,3,70,,0,
171,3,71,,0,
172,3,72,,0,
173,3,73,,0,
174,3,74,,0,
175,3,75,,0,
176,3,76,,0,
177,3,77,,0,
178,3,78,,0,
179,3,79,,0,
180,3,80,,0,
181,40,1,,0,
182,40,2,,0,
183,40,3,1,1,2/2/2024
184,40,4,,0,
185,40,5,2,1,2/12/2024
186,40,6,,0,
187,40,7,,0,
188,40,8,,0,
189,40,9,,0,
190,40,10,,0,
191,40,11,,0,
192,40,12,,0,
193,40,13,,0,
194,40,14,2,1,2/12/2024
195,40,15,,0,
196,40,16,,0,
197,40,17,,0,
198,40,18,,0,
199,40,19,,0,
200,40,20,1,1,2/2/2024
201,40,21,,0,
202,40,22,,0,
203,40,23,,0,
204,40,24,,0,
205,40,25,,0,
206,40,26,,0,
207,40,27,,0,
208,40,28,,0,
209,40,29,,0,
210,40,30,,0,
